date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:12:59	35/35	---M--	404	error ('Not%20Found')	text/plain	date:Mon,%2014%20Jun%202021%2014:42:59%20GMT	http://192.168.43.98:8000/robots.txt		(from )
20:12:59	15518/15518	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2014:42:59%20GMT	http://192.168.43.98:8000/	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/index.html	(from )
20:12:59	172904/172904	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Jun%202021%2014:42:59%20GMT	http://192.168.43.98:8000/bootstrap/css/bootstrap.min.css	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/bootstrap/css/bootstrap.min.css	(from http://192.168.43.98:8000/)
20:13:00	57126/57126	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Jun%202021%2014:43:00%20GMT	http://192.168.43.98:8000/fonts/fontawesome-all.min.css	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fontawesome-all.min.css	(from http://192.168.43.98:8000/)
20:13:02	31000/31000	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Jun%202021%2014:43:00%20GMT	http://192.168.43.98:8000/fonts/font-awesome.min.css	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/font-awesome.min.css	(from http://192.168.43.98:8000/)
20:13:03	51284/51284	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Jun%202021%2014:43:02%20GMT	http://192.168.43.98:8000/fonts/ionicons.min.css	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/ionicons.min.css	(from http://192.168.43.98:8000/)
20:13:05	566/566	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Jun%202021%2014:43:03%20GMT	http://192.168.43.98:8000/fonts/fontawesome5-overrides.min.css	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fontawesome5-overrides.min.css	(from http://192.168.43.98:8000/)
20:13:07	263/263	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Jun%202021%2014:43:06%20GMT	http://192.168.43.98:8000/untitled.css	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/untitled.css	(from http://192.168.43.98:8000/)
20:13:07	35/35	---M--	404	error ('Not%20Found')	text/plain	date:Mon,%2014%20Jun%202021%2014:43:07%20GMT	http://192.168.43.98:8000/%22/BG-1.jpg%22	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/_/BG-1.jpg_	(from http://192.168.43.98:8000/)
20:13:07	35/35	---M--	404	error ('Not%20Found')	text/plain	date:Mon,%2014%20Jun%202021%2014:43:07%20GMT	http://192.168.43.98:8000/%22/LetsLearn-Web-1.jpg%22	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/_/LetsLearn-Web-1.jpg_	(from http://192.168.43.98:8000/)
